run_id,timestamp_utc,candidate_name,is_baseline,mse_demand,rmse_demand,mae_demand,mse_demand_test,rmse_demand_test,mae_demand_test,runtime_sec,n_features,n_train,n_val,n_test,error,protocol,mse_demand_mean,mse_demand_std,mse_demand_std_indep,rmse_demand_mean,rmse_demand_std,mae_demand_mean,mae_demand_std,mse_demand_test_mean,mse_demand_test_std,n_folds,uses_predicted_rrp,uses_observed_rrp
e03f22e1,2026-05-04T05:30:20.000679+00:00,gbm__cal_temp__n300_depth3_lr0.05_sub1.0_leaf10,False,24428516.840317685,4942.521303982177,3748.821911803641,46243151.38019335,6800.231715183929,5440.727861523541,0.9730655000021216,18,1557,180,365,,,,,,,,,,,,,,
e03f22e1,2026-05-04T05:30:20.000679+00:00,mlp__cal_temp__hls64x32_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,627337326.4594045,25046.702905959588,20341.511921905687,683829490.0905871,26150.133653398163,20650.23179411353,2.1730276250018505,18,1557,180,365,,,,,,,,,,,,,,
e03f22e1,2026-05-04T05:30:20.000679+00:00,numpy_ols__cal_temp_apptemp_lag1-7__alpha10.0,False,44255984.61763791,6652.5171640243,5207.407750712483,55595709.45602233,7456.253043990818,5863.757468228348,0.0038862910005263,23,1550,180,365,,,,,,,,,,,,,,
4ccc8d8b,2026-05-04T05:30:28.947834+00:00,seasonal_naive_7,True,141138183.6274827,11880.15924251366,9762.271280820696,207834241.3248137,14416.45730839632,12113.128072003376,0.0104870829964056,0,1561,180,365,,,,,,,,,,,,,,
4ccc8d8b,2026-05-04T05:30:28.947834+00:00,seasonal_naive_364,True,60410778.91466296,7772.437128382768,6270.753833333328,224849543.5511672,14994.983946345765,11030.623232639777,0.0077386250050039,0,1561,180,365,,,,,,,,,,,,,,
4ccc8d8b,2026-05-04T05:30:28.947834+00:00,gbm__cal_temp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,12940623.142789705,3597.3077631458923,2677.827791067312,25477518.057958845,5047.5259343522785,3991.1765167219937,1.404347042000154,20,1550,180,365,,,,,,,,,,,,,,
4ccc8d8b,2026-05-04T05:30:28.947834+00:00,rf__cal_temp_apptemp_lag1-7__n100_depthNone_leaf1_featsqrt,False,13939362.029426511,3733.545503864458,2963.3817558333303,28241570.98744,5314.279912409583,4302.366245068491,0.1407417500013252,23,1550,180,365,,,,,,,,,,,,,,
4ccc8d8b,2026-05-04T05:30:28.947834+00:00,gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_leaf10,False,11289212.421436563,3359.9423241235204,2586.1253787292867,21501930.245069165,4637.0173867551075,3701.8223335214866,1.3411015000019688,23,1550,180,365,,,,,,,,,,,,,,
4ccc8d8b,2026-05-04T05:30:28.947834+00:00,mlp__cal_temp__hls64_actrelu_solveradam_alpha0.0001_lrinit0.001_iter500,False,13500715102.818956,116192.577658037,115745.94120442556,12105619520.98088,110025.54031215153,109383.53626809148,1.2050628339929972,18,1557,180,365,,,,,,,,,,,,,,
4ccc8d8b,2026-05-04T05:30:28.947834+00:00,gbm__cal_temp_apptemp_lag1-7__n300_depth3_lr0.05_sub1.0_losshuber,False,11234954.773836523,3351.8584059945797,2601.408759083337,22347679.64060435,4727.333248312874,3777.906073932739,1.6490412499988452,23,1550,180,365,,,,,,,,,,,,,,
0f61d4fe,2026-05-04T05:30:35.417502+00:00,seasonal_naive_7,True,141138183.6274827,11880.15924251366,9762.271280820696,207834241.3248137,14416.45730839632,12113.128072003376,0.0110719580115983,0,1561,180,365,,,,,,,,,,,,,,
